     i   j  desc  func   b0:mean    b0:std        kb:mean         kb:std
1    1   4  Ti-O     1  0.19      0.011601  800000.         50909.716772
2    1   5  Ti-O     1  0.19      0.008331  800000.         40462.150443
3    1  14  Ti-O     1  0.19      0.006674  800000.         26141.356727
5    1  16  Ti-O     1  0.2       0.011601  800000.         50909.716772
8    2   4  Ti-O     1  0.19      0.011601  800000.         50909.716772
9    2   5  Ti-O     1  0.19      0.011601  800000.         50909.716772
10   2  14  Ti-O     1  0.19      0.011601  800000.         50909.716772
12   2  16  Ti-O     1  0.2       0.011601  800000.         50909.716772
30   7  14   H-O     1  0.1       0.003165  326700          39217.398975
32   7  16   H-O     1  0.1       0.003206  347910          35150.170212
